"","ptID","category","slope","WMA","old","x","y"
"22",22,"evergreen",9,"Barbour County Wildlife Management Area",0,"646118.500297237"," 3537458.30465257"
"23",23,"evergreen",9,"Barbour County Wildlife Management Area",0,"650743.883492173"," 3534914.62992837"
"24",24,"deciduous",10,"Barbour County Wildlife Management Area",0,"641261.070726648"," 3538254.12035776"
"25",25,"evergreen",3,"Barbour County Wildlife Management Area",1,"643877.194673601"," 3539922.87242748"
"26",26,"evergreen",11,"Barbour County Wildlife Management Area",0,"650145.652581574"," 3534372.12916442"
"27",27,"open",3,"Barbour County Wildlife Management Area",0,"656045.793097516"," 3537105.12781449"
"28",28,"deciduous",7,"Barbour County Wildlife Management Area",1,"648196.860874813"," 3539508.49853962"
"29",29,"mixed",5,"Barbour County Wildlife Management Area",0,"649278.115100533"," 3537874.98813853"
"30",30,"open",5,"Barbour County Wildlife Management Area",1,"643137.958682276"," 3543502.91142714"
"31",31,"deciduous",7,"Barbour County Wildlife Management Area",0,"640101.531383887"," 3540944.69978622"
"32",32,"mixed",10,"Barbour County Wildlife Management Area",0,"645922.975136776"," 3534537.48125488"
"33",33,"evergreen",3,"Barbour County Wildlife Management Area",0,"639782.072972277"," 3540465.44170251"
"34",34,"evergreen",6,"Barbour County Wildlife Management Area",0,"642142.353510276"," 3537359.7731109"
"35",35,"deciduous",4,"Barbour County Wildlife Management Area",0,"640253.065128362"," 3539400.53281043"
"36",36,"evergreen",4,"Barbour County Wildlife Management Area",1,"648215.375081616"," 3542476.11568055"
"37",37,"mixed",6,"Barbour County Wildlife Management Area",0,"645623.346177033"," 3535496.11319912"
"38",38,"deciduous",9,"Barbour County Wildlife Management Area",1,"640123.689584861"," 3540552.67062463"
"39",39,"deciduous",1,"Barbour County Wildlife Management Area",1,"646430.312743436"," 3543727.08112936"
"40",40,"evergreen",4,"Barbour County Wildlife Management Area",1,"641360.8051655"," 3542053.69206818"
"41",41,"evergreen",4,"Barbour County Wildlife Management Area",0,"641878.87958248"," 3543323.68563716"
"42",42,"evergreen",3,"Barbour County Wildlife Management Area",1,"642065.952216678"," 3540906.36081237"
"43",43,"deciduous",12,"Barbour County Wildlife Management Area",1,"650296.601424744"," 3541466.58882382"
"44",44,"evergreen",11,"Barbour County Wildlife Management Area",0,"641785.921996057"," 3536194.1619903"
"45",45,"evergreen",5,"Barbour County Wildlife Management Area",1,"641822.172139646"," 3541199.66702316"
"46",46,"evergreen",8,"Barbour County Wildlife Management Area",0,"655791.315277828"," 3539139.33289391"
"47",47,"evergreen",5,"Barbour County Wildlife Management Area",0,"642781.013804461"," 3537388.51098368"
"48",48,"mixed",8,"Barbour County Wildlife Management Area",1,"651260.481893816"," 3534625.04734958"
"49",49,"deciduous",3,"Barbour County Wildlife Management Area",1,"644016.115853128"," 3538559.82003211"
"50",50,"deciduous",3,"Barbour County Wildlife Management Area",1,"640419.865388801"," 3540794.21775635"
"51",51,"evergreen",4,"Barbour County Wildlife Management Area",1,"640847.030488472"," 3542372.86664508"
"52",52,"evergreen",5,"Barbour County Wildlife Management Area",0,"644031.232961175"," 3543657.20851198"
"53",53,"evergreen",2,"Barbour County Wildlife Management Area",0,"651444.971403525"," 3538356.8819155"
"54",54,"mixed",4,"Barbour County Wildlife Management Area",0,"649330.213831817"," 3537480.04571342"
"55",55,"deciduous",6,"Barbour County Wildlife Management Area",0,"649858.39594779"," 3539469.02525584"
"56",56,"evergreen",3,"Barbour County Wildlife Management Area",0,"646568.341988662"," 3542664.10089992"
"57",57,"mixed",5,"Barbour County Wildlife Management Area",0,"654153.448359316"," 3536027.04102004"
"58",58,"evergreen",7,"Barbour County Wildlife Management Area",0,"649149.12348209"," 3534707.77988491"
"59",59,"open",3,"Barbour County Wildlife Management Area",0,"643601.352905847"," 3542978.61181929"
"60",60,"evergreen",4,"Barbour County Wildlife Management Area",1,"641874.575642372"," 3541734.51151559"
"61",61,"deciduous",3,"Barbour County Wildlife Management Area",0,"646053.640401555"," 3540194.02682065"
"62",62,"evergreen",3,"Barbour County Wildlife Management Area",0,"653050.665771683"," 3538982.59883417"
"63",63,"mixed",4,"Barbour County Wildlife Management Area",0,"645070.351512157"," 3536958.95935219"
"64",64,"evergreen",4,"Barbour County Wildlife Management Area",1,"643303.122870702"," 3542407.35717628"
"65",65,"mixed",6,"Barbour County Wildlife Management Area",0,"641718.344699859"," 3536740.5501894"
"66",66,"deciduous",3,"Barbour County Wildlife Management Area",1,"643963.692763317"," 3538024.9485077"
"67",67,"open",4,"Barbour County Wildlife Management Area",0,"647217.853827404"," 3543111.67971387"
"68",68,"evergreen",6,"Barbour County Wildlife Management Area",0,"645652.800253454"," 3536723.10879341"
"69",69,"mixed",7,"Barbour County Wildlife Management Area",0,"643935.441410465"," 3537427.76498233"
"70",70,"mixed",3,"Barbour County Wildlife Management Area",1,"643599.319610794"," 3542648.89101085"
"71",71,"deciduous",11,"Barbour County Wildlife Management Area",0,"647597.379450067"," 3543585.1513946"
"72",72,"mixed",2,"Barbour County Wildlife Management Area",0,"652028.283409734"," 3535661.20627382"
"73",73,"open",0,"Barbour County Wildlife Management Area",1,"649242.878914363"," 3541837.65000993"
"74",74,"deciduous",6,"Barbour County Wildlife Management Area",0,"647336.191035549"," 3538451.28470851"
"75",75,"evergreen",6,"Barbour County Wildlife Management Area",1,"642466.953666128"," 3542217.58891765"
"76",76,"deciduous",7,"Barbour County Wildlife Management Area",1,"642692.455231577"," 3538956.70560896"
"77",77,"evergreen",5,"Barbour County Wildlife Management Area",0,"652032.81871195"," 3539410.27463441"
"78",78,"deciduous",14,"Barbour County Wildlife Management Area",1,"639670.351063486"," 3538706.55234332"
"79",79,"deciduous",1,"Barbour County Wildlife Management Area",0,"649809.090918392"," 3542053.26129299"
"80",80,"evergreen",3,"Barbour County Wildlife Management Area",0,"641200.945209945"," 3541349.1958433"
"81",81,"deciduous",7,"Barbour County Wildlife Management Area",0,"646563.926660486"," 3541074.88354198"
"82",82,"mixed",6,"Barbour County Wildlife Management Area",1,"647848.201157863"," 3538732.09834246"
"83",83,"deciduous",5,"Barbour County Wildlife Management Area",1,"646647.867930174"," 3543166.35033718"
"84",84,"evergreen",0,"Barbour County Wildlife Management Area",0,"642566.36947882"," 3537978.99013393"
"85",85,"mixed",2,"Barbour County Wildlife Management Area",1,"645418.417427729"," 3538965.21332668"
"86",86,"deciduous",10,"Barbour County Wildlife Management Area",0,"651347.465767657"," 3538906.16057723"
"87",87,"deciduous",6,"Barbour County Wildlife Management Area",0,"650349.643887704"," 3538612.00737368"
"88",88,"evergreen",2,"Barbour County Wildlife Management Area",0,"655282.549712783"," 3537658.3961302"
"89",89,"deciduous",1,"Barbour County Wildlife Management Area",1,"644634.703927912"," 3539310.33361733"
"90",90,"mixed",4,"Barbour County Wildlife Management Area",0,"648579.29411308"," 3540011.70162161"
"91",91,"evergreen",4,"Barbour County Wildlife Management Area",0,"653426.473029618"," 3539726.39422828"
"92",92,"deciduous",5,"Barbour County Wildlife Management Area",1,"651016.761550282"," 3534918.42485524"
"93",93,"mixed",4,"Barbour County Wildlife Management Area",0,"646157.5607985"," 3538474.38366238"
"94",94,"deciduous",4,"Barbour County Wildlife Management Area",0,"649748.365788215"," 3540199.45677388"
"95",95,"deciduous",6,"Barbour County Wildlife Management Area",0,"644928.168026163"," 3534272.9813336"
"96",96,"open",3,"Barbour County Wildlife Management Area",1,"644113.088484319"," 3542329.69741554"
"97",97,"mixed",3,"Barbour County Wildlife Management Area",0,"646198.34765635"," 3538890.39489719"
"98",98,"deciduous",13,"Barbour County Wildlife Management Area",0,"644621.274594698"," 3536702.08789924"
"99",99,"mixed",5,"Barbour County Wildlife Management Area",1,"649310.658808532"," 3536971.99526149"
"100",100,"evergreen",7,"Barbour County Wildlife Management Area",0,"640971.353317348"," 3536842.1716774"
"101",101,"open",5,"Barbour County Wildlife Management Area",0,"655553.611948765"," 3533942.67877226"
"102",102,"evergreen",6,"Barbour County Wildlife Management Area",0,"640479.377900275"," 3538928.93666216"
"103",103,"evergreen",7,"Barbour County Wildlife Management Area",0,"641150.445708309"," 3537124.94537697"
"104",104,"evergreen",9,"Barbour County Wildlife Management Area",0,"655154.55109985"," 3535120.94200097"
"105",105,"evergreen",4,"Barbour County Wildlife Management Area",0,"642508.334832265"," 3541403.821168"
"106",106,"mixed",5,"Barbour County Wildlife Management Area",0,"652116.578408261"," 3538412.38399577"
"107",107,"mixed",2,"Barbour County Wildlife Management Area",0,"644193.479997158"," 3539442.6329543"
"108",108,"open",4,"Barbour County Wildlife Management Area",1,"645879.711612081"," 3538111.10803828"
"109",109,"evergreen",8,"Barbour County Wildlife Management Area",0,"642804.524394311"," 3541645.35960637"
"110",110,"deciduous",3,"Barbour County Wildlife Management Area",1,"652306.575478594"," 3536954.33290934"
"111",111,"deciduous",8,"Barbour County Wildlife Management Area",0,"641828.097715426"," 3538169.75956943"
"112",112,"mixed",5,"Barbour County Wildlife Management Area",0,"646508.785921379"," 3538350.70303267"
"113",113,"open",6,"Barbour County Wildlife Management Area",0,"656096.452400335"," 3533920.51478013"
"114",114,"evergreen",2,"Barbour County Wildlife Management Area",0,"640053.358943558"," 3537979.98154432"
"115",115,"deciduous",6,"Barbour County Wildlife Management Area",0,"644289.859637918"," 3544442.1934614"
"116",116,"deciduous",2,"Barbour County Wildlife Management Area",0,"647565.711386181"," 3538939.17299516"
"117",117,"deciduous",8,"Barbour County Wildlife Management Area",1,"647690.840380642"," 3537127.45965179"
"118",118,"mixed",3,"Barbour County Wildlife Management Area",1,"648493.069275228"," 3539750.02577562"
"119",119,"evergreen",5,"Barbour County Wildlife Management Area",0,"649281.139430086"," 3535744.98805662"
"120",120,"evergreen",5,"Barbour County Wildlife Management Area",0,"641559.646147599"," 3543774.16753885"
"121",121,"evergreen",5,"Barbour County Wildlife Management Area",1,"641987.343702022"," 3540104.0827649"
"122",122,"mixed",8,"Barbour County Wildlife Management Area",1,"647908.354174326"," 3536566.66322101"
"123",123,"evergreen",8,"Barbour County Wildlife Management Area",0,"649970.28044777"," 3533819.01990357"
"124",124,"deciduous",5,"Barbour County Wildlife Management Area",0,"647060.844110278"," 3542436.90322524"
"125",125,"evergreen",0,"Barbour County Wildlife Management Area",0,"643348.885198955"," 3540093.50886273"
"126",126,"evergreen",1,"Barbour County Wildlife Management Area",1,"641769.768634046"," 3540664.81854353"
"127",127,"evergreen",2,"Barbour County Wildlife Management Area",1,"643006.928327989"," 3542165.82194561"
"128",128,"deciduous",0,"Barbour County Wildlife Management Area",0,"648800.2251108"," 3538250.80276366"
"129",129,"evergreen",7,"Barbour County Wildlife Management Area",0,"647887.439645121"," 3542837.49971844"
"130",130,"open",5,"Barbour County Wildlife Management Area",0,"655526.176131109"," 3535205.2280821"
"131",131,"mixed",0,"Barbour County Wildlife Management Area",1,"644252.019596768"," 3540966.69244363"
"132",132,"evergreen",7,"Barbour County Wildlife Management Area",0,"644732.211793504"," 3535671.59954335"
"133",133,"mixed",8,"Barbour County Wildlife Management Area",1,"640341.276397543"," 3539991.94172515"
"134",134,"open",2,"Barbour County Wildlife Management Area",0,"654984.969483855"," 3534627.2733247"
"135",135,"evergreen",4,"Barbour County Wildlife Management Area",0,"649720.644438988"," 3536212.73459619"
"136",136,"evergreen",3,"Barbour County Wildlife Management Area",0,"641038.176199912"," 3540614.9790417"
"137",137,"evergreen",3,"Barbour County Wildlife Management Area",1,"652932.7491427"," 3535004.39769137"
"138",138,"open",4,"Barbour County Wildlife Management Area",1,"646786.755087826"," 3541803.34479561"
"139",139,"evergreen",8,"Barbour County Wildlife Management Area",0,"650429.737764925"," 3535724.70910091"
"140",140,"mixed",5,"Barbour County Wildlife Management Area",1,"644207.451398017"," 3537731.61692639"
"141",141,"mixed",3,"Barbour County Wildlife Management Area",0,"653201.901006786"," 3537438.28488336"
"142",142,"mixed",1,"Barbour County Wildlife Management Area",0,"651610.772827588"," 3539120.84509233"
"143",143,"evergreen",6,"Barbour County Wildlife Management Area",0,"642167.224579345"," 3543176.07918636"
"144",144,"deciduous",6,"Barbour County Wildlife Management Area",0,"644374.039261824"," 3538195.55208748"
"145",145,"mixed",9,"Barbour County Wildlife Management Area",0,"640823.502475128"," 3541205.41930846"
"146",146,"deciduous",6,"Barbour County Wildlife Management Area",1,"644409.288581748"," 3542571.22920104"
"147",147,"open",3,"Barbour County Wildlife Management Area",1,"645864.105161264"," 3543511.45052511"
"148",148,"deciduous",2,"Barbour County Wildlife Management Area",0,"647493.674655258"," 3543145.20824661"
"149",149,"mixed",8,"Barbour County Wildlife Management Area",0,"650671.32778248"," 3537261.32036774"
"150",150,"evergreen",5,"Barbour County Wildlife Management Area",1,"648815.509870615"," 3540258.98380136"
"151",151,"deciduous",15,"Barbour County Wildlife Management Area",0,"647988.393322793"," 3535839.07812597"
"152",152,"mixed",4,"Barbour County Wildlife Management Area",1,"645399.994250175"," 3535997.47582814"
"153",153,"open",0,"Barbour County Wildlife Management Area",1,"644930.89550638"," 3539551.87117499"
"154",154,"deciduous",6,"Barbour County Wildlife Management Area",0,"645065.181692673"," 3541848.49148394"
"155",155,"deciduous",1,"Barbour County Wildlife Management Area",1,"646340.99282922"," 3537256.98640301"
"156",156,"mixed",4,"Barbour County Wildlife Management Area",1,"652490.292765235"," 3538826.43599854"
"157",157,"deciduous",3,"Barbour County Wildlife Management Area",0,"647167.00356494"," 3538887.44480489"
"158",158,"mixed",4,"Barbour County Wildlife Management Area",1,"643677.944303539"," 3543451.14341293"
"159",159,"evergreen",4,"Barbour County Wildlife Management Area",1,"642763.145974019"," 3542459.12551792"
"160",160,"deciduous",1,"Barbour County Wildlife Management Area",0,"641346.38025422"," 3538815.82522982"
"161",161,"deciduous",3,"Freedom Hills Wildlife Management Area",0,"409551.073206296"," 3834168.11232345"
"162",162,"deciduous",8,"Freedom Hills Wildlife Management Area",1,"403949.949056246"," 3839111.07150214"
"163",163,"deciduous",15,"Freedom Hills Wildlife Management Area",0,"403355.452124211"," 3841466.94184634"
"164",164,"deciduous",7,"Freedom Hills Wildlife Management Area",0,"411781.863356481"," 3830823.27287604"
"165",165,"deciduous",4,"Freedom Hills Wildlife Management Area",0,"405030.917031064"," 3843103.75372537"
"166",166,"open",2,"Freedom Hills Wildlife Management Area",1,"405852.46078796"," 3833287.07570944"
"167",167,"deciduous",8,"Freedom Hills Wildlife Management Area",0,"404578.46727997"," 3845356.71038187"
"168",168,"deciduous",19,"Freedom Hills Wildlife Management Area",0,"413490.04542772"," 3834070.58617479"
"169",169,"open",6,"Freedom Hills Wildlife Management Area",0,"413182.228547308"," 3833710.79981837"
"170",170,"open",6,"Freedom Hills Wildlife Management Area",0,"407642.356607251"," 3836437.1603384"
"171",171,"open",4,"Freedom Hills Wildlife Management Area",1,"406050.787068343"," 3841066.8815469"
"172",172,"deciduous",7,"Freedom Hills Wildlife Management Area",0,"404232.898486372"," 3838576.83119657"
"173",173,"deciduous",10,"Freedom Hills Wildlife Management Area",0,"411379.908960407"," 3841527.23275744"
"174",174,"open",8,"Freedom Hills Wildlife Management Area",0,"415040.711253785"," 3832820.79209846"
"175",175,"evergreen",6,"Freedom Hills Wildlife Management Area",0,"415110.090824754"," 3841150.29367521"
"176",176,"deciduous",4,"Freedom Hills Wildlife Management Area",0,"413550.993235296"," 3831853.86686989"
"177",177,"deciduous",5,"Freedom Hills Wildlife Management Area",0,"414772.122397999"," 3831919.52954552"
"178",178,"deciduous",11,"Freedom Hills Wildlife Management Area",0,"411695.054714467"," 3835940.66012692"
"179",179,"deciduous",10,"Freedom Hills Wildlife Management Area",0,"412280.105316542"," 3835706.96145125"
"180",180,"deciduous",9,"Freedom Hills Wildlife Management Area",0,"411907.511229783"," 3835622.11092418"
"181",181,"evergreen",2,"Freedom Hills Wildlife Management Area",1,"415033.020630449"," 3837811.19934404"
"182",182,"evergreen",7,"Freedom Hills Wildlife Management Area",0,"405531.375204784"," 3842937.69978293"
"183",183,"mixed",3,"Freedom Hills Wildlife Management Area",0,"414307.010509975"," 3831185.94099943"
"184",184,"deciduous",10,"Freedom Hills Wildlife Management Area",0,"410021.216644629"," 3835588.43727368"
"185",185,"deciduous",11,"Freedom Hills Wildlife Management Area",0,"413882.001146577"," 3833406.66365458"
"186",186,"mixed",15,"Freedom Hills Wildlife Management Area",0,"414625.1503349"," 3838625.97025196"
"187",187,"evergreen",3,"Freedom Hills Wildlife Management Area",1,"403561.181211785"," 3840760.62664108"
"188",188,"deciduous",7,"Freedom Hills Wildlife Management Area",0,"406352.224400847"," 3833748.54388119"
"189",189,"deciduous",21,"Freedom Hills Wildlife Management Area",0,"417215.705139207"," 3841253.12522536"
"190",190,"deciduous",13,"Freedom Hills Wildlife Management Area",1,"410637.004890327"," 3834724.43124903"
"191",191,"deciduous",8,"Freedom Hills Wildlife Management Area",1,"409588.717843896"," 3838048.80812144"
"192",192,"open",5,"Freedom Hills Wildlife Management Area",0,"403965.449129876"," 3838004.13964754"
"193",193,"evergreen",11,"Freedom Hills Wildlife Management Area",0,"407654.610376781"," 3838467.73849102"
"194",194,"deciduous",7,"Freedom Hills Wildlife Management Area",0,"415562.794731164"," 3830979.46137296"
"195",195,"deciduous",5,"Freedom Hills Wildlife Management Area",1,"406317.759993542"," 3832437.05819507"
"196",196,"evergreen",9,"Freedom Hills Wildlife Management Area",0,"403808.787156773"," 3841126.00807145"
"197",197,"deciduous",10,"Freedom Hills Wildlife Management Area",1,"412052.710364317"," 3838088.48900924"
"198",198,"deciduous",10,"Freedom Hills Wildlife Management Area",0,"411589.79547812"," 3838012.04373836"
"199",199,"deciduous",11,"Freedom Hills Wildlife Management Area",0,"412540.308202297"," 3834935.79126284"
"200",200,"deciduous",8,"Freedom Hills Wildlife Management Area",0,"414176.484296323"," 3829823.6225362"
"201",201,"open",9,"Freedom Hills Wildlife Management Area",1,"405872.099909646"," 3839201.20978655"
"202",202,"evergreen",11,"Freedom Hills Wildlife Management Area",0,"407312.75552644"," 3837752.58397876"
"203",203,"evergreen",5,"Freedom Hills Wildlife Management Area",0,"417070.32476412"," 3840370.34536229"
"204",204,"deciduous",18,"Freedom Hills Wildlife Management Area",1,"412635.674352714"," 3835614.12466475"
"205",205,"evergreen",14,"Freedom Hills Wildlife Management Area",0,"412083.306111539"," 3839041.7298004"
"206",206,"evergreen",9,"Freedom Hills Wildlife Management Area",1,"411889.522369035"," 3833532.27459564"
"207",207,"deciduous",4,"Freedom Hills Wildlife Management Area",0,"404228.088213523"," 3840429.70679794"
"208",208,"deciduous",11,"Freedom Hills Wildlife Management Area",1,"410417.137473499"," 3835282.70029177"
"209",209,"open",5,"Freedom Hills Wildlife Management Area",1,"402349.777893855"," 3839528.77896175"
"210",210,"deciduous",10,"Freedom Hills Wildlife Management Area",1,"412912.194596977"," 3829941.24568659"
"211",211,"deciduous",6,"Freedom Hills Wildlife Management Area",1,"409103.63619912"," 3832984.68960108"
"212",212,"deciduous",8,"Freedom Hills Wildlife Management Area",1,"404829.553865911"," 3836878.03709736"
"213",213,"evergreen",6,"Freedom Hills Wildlife Management Area",0,"404152.649345742"," 3835835.47789686"
"214",214,"evergreen",11,"Freedom Hills Wildlife Management Area",1,"408080.835236009"," 3836575.64671813"
"215",215,"open",7,"Freedom Hills Wildlife Management Area",0,"406896.515251381"," 3836894.95064915"
"216",216,"deciduous",4,"Freedom Hills Wildlife Management Area",0,"412955.859228707"," 3830714.05617473"
"217",217,"deciduous",10,"Freedom Hills Wildlife Management Area",0,"415365.800241939"," 3839064.97234537"
"218",218,"open",4,"Freedom Hills Wildlife Management Area",0,"412446.188550113"," 3833002.42317104"
"219",219,"deciduous",14,"Freedom Hills Wildlife Management Area",1,"402656.018501869"," 3842727.078591"
"220",220,"deciduous",15,"Freedom Hills Wildlife Management Area",1,"414680.025282333"," 3842684.15043907"
"221",221,"deciduous",8,"Freedom Hills Wildlife Management Area",0,"409306.033542186"," 3831292.61491074"
"222",222,"deciduous",11,"Freedom Hills Wildlife Management Area",0,"404596.134600779"," 3844906.91972047"
"223",223,"deciduous",17,"Freedom Hills Wildlife Management Area",0,"409972.989712442"," 3835084.98703876"
"224",224,"deciduous",14,"Freedom Hills Wildlife Management Area",1,"404670.50888019"," 3840926.3577039"
"225",225,"deciduous",7,"Freedom Hills Wildlife Management Area",0,"411019.995667637"," 3833015.58325541"
"226",226,"open",9,"Freedom Hills Wildlife Management Area",0,"414639.030233534"," 3834650.89346646"
"227",227,"open",8,"Freedom Hills Wildlife Management Area",0,"403934.257261516"," 3837678.37912951"
"228",228,"deciduous",3,"Freedom Hills Wildlife Management Area",1,"405693.425425833"," 3837335.50725123"
"229",229,"deciduous",2,"Freedom Hills Wildlife Management Area",0,"415938.977260824"," 3837756.77834397"
"230",230,"deciduous",15,"Freedom Hills Wildlife Management Area",0,"416907.384233981"," 3838353.85044885"
"231",231,"open",3,"Freedom Hills Wildlife Management Area",0,"412360.931023684"," 3833697.57166474"
"232",232,"open",5,"Freedom Hills Wildlife Management Area",1,"413734.939810695"," 3832822.766233"
"233",233,"evergreen",2,"Freedom Hills Wildlife Management Area",0,"405294.212526905"," 3836655.55282287"
"234",234,"deciduous",7,"Freedom Hills Wildlife Management Area",1,"417082.861947645"," 3839233.84474069"
"235",235,"deciduous",5,"Freedom Hills Wildlife Management Area",0,"409271.455796892"," 3835688.05901285"
"236",236,"open",7,"Freedom Hills Wildlife Management Area",1,"412922.161506212"," 3832898.38384595"
"237",237,"deciduous",3,"Freedom Hills Wildlife Management Area",0,"413346.08202305"," 3830349.07612973"
"238",238,"deciduous",5,"Freedom Hills Wildlife Management Area",0,"411960.270106824"," 3830149.32218447"
"239",239,"deciduous",6,"Freedom Hills Wildlife Management Area",0,"407381.667947752"," 3836252.2579115"
"240",240,"deciduous",16,"Freedom Hills Wildlife Management Area",1,"404016.727339555"," 3836953.62768458"
"241",241,"deciduous",6,"Freedom Hills Wildlife Management Area",1,"411322.130966594"," 3833316.14687912"
"242",242,"deciduous",7,"Freedom Hills Wildlife Management Area",1,"412354.772724152"," 3832682.25742415"
"243",243,"deciduous",9,"Freedom Hills Wildlife Management Area",1,"414010.402771033"," 3841402.00173447"
"244",244,"evergreen",11,"Freedom Hills Wildlife Management Area",0,"413865.714212802"," 3831017.84216822"
"245",245,"deciduous",21,"Freedom Hills Wildlife Management Area",0,"413527.206332019"," 3838578.73862431"
"246",246,"deciduous",13,"Freedom Hills Wildlife Management Area",0,"410709.362533968"," 3838332.97296367"
"247",247,"open",13,"Freedom Hills Wildlife Management Area",0,"413147.201805304"," 3838733.60486703"
"248",248,"deciduous",7,"Freedom Hills Wildlife Management Area",0,"408187.901027652"," 3834205.27193867"
"249",249,"deciduous",21,"Freedom Hills Wildlife Management Area",0,"408833.992393852"," 3831754.83596748"
"250",250,"deciduous",18,"Freedom Hills Wildlife Management Area",1,"405479.447042086"," 3832246.10536956"
"251",251,"open",13,"Freedom Hills Wildlife Management Area",1,"405881.947287208"," 3842158.167057"
"252",252,"mixed",11,"Freedom Hills Wildlife Management Area",0,"402599.304418437"," 3842134.80767972"
"253",253,"mixed",8,"Freedom Hills Wildlife Management Area",1,"404179.654072092"," 3841509.80192561"
"254",254,"open",5,"Freedom Hills Wildlife Management Area",0,"414200.67080235"," 3832928.83027965"
"255",255,"deciduous",8,"Freedom Hills Wildlife Management Area",1,"414915.353789131"," 3839435.53752685"
"256",256,"deciduous",6,"Freedom Hills Wildlife Management Area",1,"410524.964068272"," 3830701.15715556"
"257",257,"deciduous",7,"Freedom Hills Wildlife Management Area",1,"409824.20664406"," 3834800.03988654"
"258",258,"deciduous",3,"Freedom Hills Wildlife Management Area",1,"414936.322425316"," 3831097.50973524"
"259",259,"deciduous",3,"Freedom Hills Wildlife Management Area",0,"413751.846343909"," 3834584.04519515"
"260",260,"evergreen",5,"Freedom Hills Wildlife Management Area",1,"405616.854536251"," 3836535.91099295"
"261",261,"deciduous",13,"Freedom Hills Wildlife Management Area",0,"405107.260857567"," 3841363.77740782"
"262",262,"deciduous",3,"Freedom Hills Wildlife Management Area",1,"403637.748519049"," 3841560.19873334"
"263",263,"deciduous",5,"Freedom Hills Wildlife Management Area",1,"415156.163132262"," 3830539.22401525"
"264",264,"deciduous",10,"Freedom Hills Wildlife Management Area",0,"406874.473672766"," 3836030.5246686"
"265",265,"deciduous",9,"Freedom Hills Wildlife Management Area",0,"407197.759053259"," 3835283.36826373"
"266",266,"deciduous",11,"Freedom Hills Wildlife Management Area",0,"411698.034330967"," 3834386.69695268"
"267",267,"deciduous",7,"Freedom Hills Wildlife Management Area",0,"402854.149805011"," 3839720.90015998"
"268",268,"deciduous",10,"Freedom Hills Wildlife Management Area",1,"409323.508683477"," 3832426.41054521"
"269",269,"deciduous",8,"Freedom Hills Wildlife Management Area",0,"412756.352254006"," 3832435.74338464"
"270",270,"mixed",6,"Freedom Hills Wildlife Management Area",0,"412836.036515307"," 3837388.17590606"
"271",271,"open",9,"Freedom Hills Wildlife Management Area",1,"412400.267033476"," 3838862.85314628"
"272",272,"deciduous",5,"Freedom Hills Wildlife Management Area",1,"412042.735270393"," 3835131.47466627"
"273",273,"deciduous",9,"Freedom Hills Wildlife Management Area",0,"402278.894276023"," 3838788.41894593"
"274",274,"deciduous",9,"Freedom Hills Wildlife Management Area",0,"401683.693527821"," 3841771.79096637"
"275",275,"deciduous",24,"Freedom Hills Wildlife Management Area",0,"411783.152174819"," 3835275.13814826"
"276",276,"open",6,"Freedom Hills Wildlife Management Area",0,"404163.294667574"," 3840704.63114118"
"277",277,"deciduous",10,"Freedom Hills Wildlife Management Area",0,"410866.012010525"," 3833627.48887589"
